street_id,cluster_id_PF,cluster_id_TF,is_conflict
142,1,0,True
143,1,0,True
144,1,0,True
145,1,0,True
146,1,0,True
147,1,0,True
148,1,0,True
149,1,0,True
150,1,0,True
151,1,0,True
152,1,0,True
153,1,0,True
154,1,0,True
155,1,0,True
156,1,0,True
157,1,0,True
158,1,0,True
159,1,0,True
160,1,0,True
161,1,0,True
162,1,0,True
163,1,0,True
164,1,0,True
165,1,0,True
166,1,0,True
167,1,0,True
168,1,0,True
169,1,0,True
170,1,0,True
171,1,0,True
172,1,0,True
173,1,0,True
174,1,0,True
175,1,0,True
176,1,0,True
177,1,0,True
178,1,0,True
179,1,0,True
180,1,0,True
181,1,0,True
182,1,0,True
183,1,0,True
184,1,0,True
185,1,0,True
186,1,0,True
187,1,0,True
188,1,0,True
189,1,0,True
190,1,0,True
191,1,0,True
192,1,0,True
193,1,0,True
194,1,0,True
195,1,0,True
196,1,0,True
197,1,0,True
198,1,0,True
199,1,0,True
200,1,0,True
201,1,0,True
202,1,0,True
203,1,0,True
204,1,0,True
205,1,0,True
206,1,0,True
207,1,0,True
208,1,0,True
209,1,0,True
210,1,0,True
211,1,0,True
212,1,0,True
213,1,0,True
214,1,0,True
215,1,0,True
216,1,0,True
217,1,0,True
218,1,0,True
219,1,0,True
220,1,0,True
221,1,0,True
222,1,0,True
223,1,0,True
224,1,0,True
225,1,0,True
226,1,0,True
227,1,0,True
228,1,0,True
229,1,0,True
230,1,0,True
231,1,0,True
232,1,0,True
233,1,0,True
1226,6,4,True
1227,6,4,True
1228,13,9,True
1229,14,10,True
1231,11,-1,True
1232,11,10,True
1233,11,10,True
1234,14,-1,True
1235,10,9,True
1236,14,-1,True
1237,-1,8,True
1238,13,10,True
1240,11,8,True
1241,13,9,True
1242,12,-1,True
1243,10,-1,True
1244,13,10,True
1245,13,9,True
1247,11,-1,True
1248,-1,8,True
1249,10,-1,True
1250,13,10,True
1252,10,9,True
1253,12,9,True
1254,11,10,True
1255,6,4,True
1256,6,4,True
1257,6,4,True
1258,6,4,True
1259,6,4,True
1260,6,4,True
1261,6,4,True
1262,6,4,True
1263,6,4,True
1264,6,4,True
1265,6,4,True
1266,6,4,True
